grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
Netroots Foundation,/grants/grantee/netroots-foundation,2014,"$20,000",Gay and Lesbian Rights,Research & Communications,
New America Foundation,/grants/grantee/new-america-foundation,2014,"$120,000",Education Equity,Early Success and PreK-3rd,"To promote policies to support PreK-3rd reforms and to produce a case study on San Francisco Unified School District's early learning initiative. $120,000 over two years (2014-2016)"
"New Israel Fund, San Francisco",/grants/grantee/new-israel-fund-san-francisco,2014,"$5,000",Community,,
Northern California Grantmakers,/grants/grantee/northern-california-grantmakers,2014,"$12,500",Community,,
Northern Plains Resource Council,/grants/grantee/northern-plains-resource-council,2014,"$10,000",Community,,
Oakland Museum of California Foundation,/grants/grantee/oakland-museum-of-california-foundation,2014,"$2,500",Community,,
Our Family Coalition,/grants/grantee/our-family-coalition,2014,"$10,000",Gay and Lesbian Rights,Marriage Equality,
Parents for Public Schools,/grants/grantee/parents-for-public-schools,2014,"$75,000",Education Equity,Early Success and PreK-3rd,"To engage parents in the education of their young children. $75,000"
Parents for Public Schools,/grants/grantee/parents-for-public-schools,2014,"$11,500",Leadership,Investing in Our Grantees,
Partnership for Haas Preeminence,/grants/grantee/partnership-for-haas-preeminence,2014,"$8,500,000",Community,,"To enable capital projects at Haas Pavilion and Haas Business School. $8,500,000 over two years (2014-2016)"
PICO National Network,/grants/grantee/pico-national-network,2014,"$300,000",Immigrant Rights,California Civic Participation,"To engage the faith community in advocating for the rights of immigrants. $300,000 over two years (2014-2016)"
Pride Foundation,/grants/grantee/pride-foundation,2014,"$100,000",Gay and Lesbian Rights,Marriage Equality,"To support efforts to ensure that ""religious liberty"" arguments do not erode gains in marriage equality and nondiscrimination protections. $100,000"
Pride Foundation,/grants/grantee/pride-foundation,2014,"$50,000",Gay and Lesbian Rights,Marriage Equality,"To lead a project to ensure that ""religious liberty"" claims do not erode gains in marriage equality and nondiscrimination protections. $50,000"
Project Open Hand,/grants/grantee/project-open-hand,2014,"$25,000",Community,,
Proteus Fund,/grants/grantee/proteus-fund,2014,"$2,500",Gay and Lesbian Rights,Marriage Equality,
Public Law Center,/grants/grantee/public-law-center,2014,"$75,000",Immigrant Rights,California Civic Participation,"To increase citizenship among Orange County's diverse immigrant communities. $75,000"
Public Policy Institute of California,/grants/grantee/public-policy-institute-of-california,2014,"$60,000",Education Equity,,"To inform California policymakers on how new state testing and funding changes are impacting English Learners and low-income students. $60,000 over two years (2014-2016)"
Public Religion Research Institute,/grants/grantee/public-religion-research-institute,2014,"$50,000",Gay and Lesbian Rights,Nondiscrimination,"To research the attitudes of Americans on gay issues in all 50 states. $50,000"
Radio Bilingue,/grants/grantee/radio-bilingue,2014,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To support Spanish-language public radio programming on immigration policies and civic participation in California. $100,000 over two years (2014-2016)"
"Raising a Reader, San Francisco and Alameda Counties",/grants/grantee/raising-a-reader-san-francisco-and-alameda-counties,2014,"$100,000",Education Equity,Early Success and PreK-3rd,"To expand the capacity of a program that promotes early literacy in the homes of the most underserved San Francisco communities. 100,000"
Raphael House of San Francisco,/grants/grantee/raphael-house-of-san-francisco,2014,"$10,000",Community,,
Reconciling Ministries Network,/grants/grantee/reconciling-ministries-network,2014,"$47,000",Leadership,Investing in Our Grantees,"To bolster the leadership of the new Executive Director and the board in fundraising. $47,000"
Red Tab Foundation,/grants/grantee/red-tab-foundation,2014,"$25,000",Community,,
Red Tab Foundation,/grants/grantee/red-tab-foundation,2014,"$5,000",Community,,
Rockwood Leadership Institute,/grants/grantee/rockwood-leadership-institute,2014,"$125,000",Leadership,Strengthening Social Movements,"For the Fellowship for a New California and for the exploration of possible new programs. $125,000"
Salvation Army - Golden State Division,/grants/grantee/salvation-army-golden-state-division,2014,"$25,000",Community,,
San Diego LGBT Center,/grants/grantee/san-diego-lgbt-center,2014,"$300,000",Immigrant Rights,California Civic Participation,"For the Engage San Diego project to increase civic participation in the county's immigrant, African American and gay communities. $300,000 over two years (2014-2016)"
San Francisco and Marin Food Bank,/grants/grantee/san-francisco-and-marin-food-bank,2014,"$80,000",Community,,"To meet the needs of the poor and disadvantaged by sustaining and increasing the efficiency of its food distribution program. $80,000 over two years (2014-2016)"
San Francisco Ballet,/grants/grantee/san-francisco-ballet,2014,"$1,000",Community,,
San Francisco Education Fund,/grants/grantee/san-francisco-education-fund,2014,"$150,000",Education Equity,PreK-12 Systems Change,"To support the San Francisco school district's priorities for developing robust community schools and corporate volunteer programs in high need schools. $150,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2014,"$200,000",Community,,"For an advised fund. $200,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2014,"$10,000",Community,,
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2014,"$15,000",Community,,
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2014,"$48,000",Community,,"For an advised fund. $48,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2014,"$15,000",Community,,
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2014,"$10,000",Community,,
San Francisco Free Clinic,/grants/grantee/san-francisco-free-clinic,2014,"$1,000",Community,,
San Francisco Heritage,/grants/grantee/san-francisco-heritage,2014,"$50,000",Community,,"For renovations to the Haas-Lilienthal House. $50,000"
San Francisco Host Committee,/grants/grantee/san-francisco-host-committee,2014,"$2,500",Community,,
San Francisco Special Events Committee,/grants/grantee/san-francisco-special-events-committee,2014,"$5,000",Community,,
San Francisco Study Center,/grants/grantee/san-francisco-study-center,2014,"$75,000",Education Equity,Early Success and PreK-3rd,"For the San Francisco Beacon Initiative to partner with the San Francisco Unified School District to deepen the community schools strategy and with the Department of Children, Youth and their Families to improve program quality in the city. $75,000"
San Francisco Study Center,/grants/grantee/san-francisco-study-center,2014,"$10,000",Education Equity,,
San Francisco Symphony,/grants/grantee/san-francisco-symphony,2014,"$20,000",Community,,
San Francisco Symphony,/grants/grantee/san-francisco-symphony,2014,"$15,000",Community,,
San Francisco Unified School District,/grants/grantee/san-francisco-unified-school-district,2014,"$500,000",Education Equity,PreK-12 Systems Change,"For the SFUSD's Executive Leadership and Organizational Development plan to lead reform. $500,000"
San Francisco Unified School District,/grants/grantee/san-francisco-unified-school-district,2014,"$500,000",Education Equity,Early Success and PreK-3rd,"To support the SFUSD's PreK-3rd Grade plan to close the racial achievement gap. $500,000"
Save the Children,/grants/grantee/save-the-children,2014,$500,Community,,
Self-Help for the Elderly,/grants/grantee/self-help-for-the-elderly,2014,"$50,000",Immigrant Rights,California Civic Participation,"For the San Francisco Pathways to Citizenship Initiative to increase the number of naturalization-eligible San Francisco residents who become citizens. $50,000"
Services and Advocacy for GLBT Elders,/grants/grantee/services-and-advocacy-for-glbt-elders,2014,"$130,000",Gay and Lesbian Rights,Nondiscrimination,"To elevate the voices of gay seniors in educating the public about the harms caused by anti-gay discrimination. $130,000 over two years (2014-2016)"
"Services, Immigrant Rights and Education Network",/grants/grantee/services-immigrant-rights-and-education-network,2014,"$185,000",Immigrant Rights,California Civic Participation,"To increase citizenship, voting and immigrant rights in Santa Clara County. $185,000"
Small Business Majority Foundation,/grants/grantee/small-business-majority-foundation,2014,"$50,000",Gay and Lesbian Rights,Nondiscrimination,"To build support among small business owners in Ohio for policies that protect gay people from discrimination. $50,000"
Society of St. Vincent de Paul of Alameda County,/grants/grantee/society-of-st-vincent-de-paul-of-alameda-county,2014,"$20,000",Community,,
Soulforce,/grants/grantee/soulforce,2014,"$50,000",Gay and Lesbian Rights,Nondiscrimination,"To train and organize young people of faith to challenge anti-gay animus based on religious belief. $50,000"
St. Anthony Foundation,/grants/grantee/st-anthony-foundation,2014,"$25,000",Community,,
St. Mary's Center,/grants/grantee/st-mary-s-center,2014,"$3,000",Community,,
Stanford University - Center for Education Policy Analysis,/grants/grantee/stanford-university-center-for-education-policy-analysis,2014,"$175,000",Education Equity,Early Success and PreK-3rd,"To the Center for Education Policy Analysis (CEPA), to extend a preschool texting program to kindergarten parents to support their child's literacy at home. $175,000"
Stern Grove Festival Association,/grants/grantee/stern-grove-festival-association,2014,"$15,000",Community,,
Stern Grove Festival Association,/grants/grantee/stern-grove-festival-association,2014,"$1,500",Community,,
Strategic Concepts in Organizing and Policy Education (SCOPE),/grants/grantee/strategic-concepts-in-organizing-and-policy-education-scope,2014,"$300,000",Immigrant Rights,California Civic Participation,"For California Calls to increase the civic participation of immigrants and African Americans. $300,000 over two years (2014-2016)"
Swords to Plowshares,/grants/grantee/swords-to-plowshares,2014,"$5,000",Community,,
Tides Center,/grants/grantee/tides-center,2014,"$400,000",Leadership,Investing in Our Grantees,"To support the Flexible Leadership Awards program. $400,000"
